Country Name,Property Rights,Freedom from Corruption,Fiscal Freedom ,Gov't Spending,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),GDP Growth Rate (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
Albania,31.25,31.33823529411765,90.0775,75.4448652925,74.32499999999999,50.779099180368725,80.22089918470328,85.67,70.0,70.0,2.165,16.5,12.5,22.725,28.605999999999998,3.00575,1.5255,2.2525,1076.8447334402822,65.64525
Algeria,28.75,32.43627450980392,80.475,48.295464370000005,65.05,49.899825131757495,70.92801158612521,62.55,30.0,30.0,11.225,35.0,24.5,11.2,41.692750000000004,37.262,2.95825,4.8905,1808.5,9.45075
Angola,15.0,19.926470588235293,85.646975,54.03224692,47.075,43.21430305533883,65.67150888560363,70.18,38.75,40.0,6.785,17.0,32.5,8.15,39.103,21.26025,5.0245,9.96525,-5162.286595614475,31.21825
Argentina,15.0,31.86764705882353,65.18209999999999,48.6315173125,55.7,44.87016748383534,55.99193239230408,68.16499999999999,32.5,30.0,5.9175,35.0,35.0,32.05,41.353249999999996,41.34525,3.872,17.00925,8872.066881325125,46.142
Armenia,25.0,31.436274509803923,85.662775,81.72224493,82.725,70.5344298932543,73.3570177276295,85.465,75.0,70.0,2.2675,24.5,20.0,20.5247175,24.675,3.3195,4.5504999999999995,4.767,441.6297407846047,40.192750000000004
Australia,90.0,84.18627450980392,64.370975,62.304325,93.4,80.375,83.70435801488779,86.345,81.25,90.0,1.8275000000000001,45.0,30.0,25.125,35.44572043523757,23.073,2.6885000000000003,2.5225,49989.01917034604,28.267
Austria,90.0,73.61764705882354,50.731475,22.298125000000002,76.825,77.51863425912349,80.20816378904085,87.655,88.75,70.0,1.1725,50.0,25.0,42.44975,50.889822073627776,8.47175,1.14725,2.4375,9050.155983172255,76.73375
Azerbaijan,21.25,25.916666666666668,87.42962809344775,62.25922228,71.875,77.9084103092372,77.2647025222118,76.555,57.5,47.5,4.2225,26.25,20.0,12.784040000000001,35.41925,9.26225,2.71325,3.1825,2633.0,12.985
Bahrain,58.75,49.35294117647059,99.900975,73.0755078125,74.125,83.65552694451972,74.93254209437357,80.655,71.25,80.0,4.6725,0.0,0.0,3.375,29.94025,1.163,3.8155,2.00025,904.5877659574346,39.454
Bangladesh,20.0,25.568627450980394,72.653875860119,92.49659081249999,63.4,57.48807848613566,66.78779935191895,58.9,50.0,27.5,12.425,25.0,45.0,9.2208225,15.79275,157.81525,5.9945,8.4925,1313.0675,37.05075
Barbados,80.0,76.22058823529412,74.5231,45.92769797,72.35,74.81499093633286,76.43061568613057,61.775,62.5,60.0,14.125,35.0,25.0,26.4,42.3775,0.27825,-0.12499999999999999,4.55425,335.3642947917576,95.56325
Belarus,20.0,27.142156862745097,88.254775,51.03863808,72.4,77.4016597621449,42.36643506613525,80.55,22.5,10.0,2.225,12.25,18.0,26.375,40.28,9.437999999999999,2.3335,37.214,2364.625,40.4365
Belgium,80.0,75.0392156862745,44.3875,12.618325000000002,89.4,66.68037797623641,81.11305560755426,87.655,83.75,70.0,1.1725,50.0,33.0,44.42825,53.965645027844474,11.103250000000001,0.74625,1.95825,20041.507157342996,100.864
Belize,31.25,5.016666666666667,82.192775,74.26044597,66.64999999999999,65.17532960290956,78.33766462978954,71.35,46.25,50.0,9.325,25.0,25.0,23.025,29.253,0.347,3.1925,1.18675,130.5205,77.5745
Benin,30.0,33.63235294117647,70.21187499999999,85.9429509325,50.725,51.80829271505162,79.33848031751023,59.125,71.25,50.0,15.45,42.5,30.0,15.875,21.643250000000002,10.0445,4.5065,2.3637500000000005,243.6177520811313,31.139
Bhutan,60.0,60.94607843137255,82.821875,55.9058015925,61.75,81.67091786281573,66.48849876672023,52.075,20.0,30.0,15.850000000000001,25.0,30.0,13.9351625,38.078500000000005,0.73875,6.7185,8.66425,14.22531181114471,93.06175
Bolivia,10.0,31.269607843137255,87.2829,60.7385090325,55.425,29.487153019951418,68.0138394639743,76.535,12.5,45.0,4.245,13.0,25.0,21.725,36.14475,10.93575,5.6325,6.47525,1079.0921014658163,32.86825
Bosnia and Herzegovina,20.0,36.720588235294116,83.216975,28.684956999999997,54.475,61.60148983516949,81.8461811953939,86.885,70.0,60.0,1.5575,10.0,10.0,38.45,48.7525,3.88075,0.75,1.18925,490.9293480730581,43.1365
Botswana,70.0,62.30882352941176,79.778475,66.2881024325,67.675,69.50529520788321,73.65635913426651,79.655,70.0,70.0,3.935,25.0,22.0,30.2,33.4875,1.9777500000000001,4.33075,6.4215,365.2670781370717,15.62525
Brazil,48.75,40.23529411764706,69.291775,53.7466051925,55.45,52.90318728299287,69.48091010754301,69.495,52.5,57.5,7.74,27.5,34.0,34.0,39.2575,198.58875,1.5085,6.14325,64618.019295930004,66.55075
Bulgaria,30.0,38.03921568627451,91.821975,63.3879280325,70.625,75.79191650204802,81.00355281950752,87.655,60.0,60.0,1.1725,10.0,10.0,24.7,34.93625,7.28125,1.25275,1.14025,1731.1446257255936,20.01575
Burkina Faso,28.75,34.32843137254902,82.39265,80.228612,54.45,57.02608802027222,81.08103703073358,69.175,61.25,42.5,8.55,28.125,28.125,12.95,25.63925,16.65525,6.09825,2.02175,190.93150452029778,29.68825
Burma,10.0,17.15686274509804,85.565775,84.8001895325,27.4,62.94016289279049,66.49958759785517,73.91,12.5,12.5,3.045,22.5,30.0,4.1911175,21.296,60.61,6.737,5.52675,1665.0507499999999,37.82675
Burundi,20.0,18.965686274509803,73.06377499999999,51.575387392500005,58.45,66.30807755411854,70.13127035930088,74.28,57.5,30.0,5.9725,35.0,35.0,15.4,39.52625,8.84925,4.351,9.97675,10.273574148378321,32.38425
Cambodia,27.5,20.176470588235293,90.677975,87.9358565325,34.375,57.27255610653862,79.00316888267729,71.4,60.0,50.0,9.3,20.0,20.0,11.535544999999999,20.05375,15.26925,6.62975,3.8019999999999996,1393.797732516468,28.69075
Cameroon,27.5,24.735294117647058,72.079375,86.61866837,45.075,52.07975382167723,74.01264718999988,59.325,36.25,50.0,12.825,35.875,37.125,10.9,21.11875,21.7325,4.656499999999999,2.46075,485.053083333325,17.55375
Canada,90.0,84.17156862745098,79.8575,47.707924999999996,87.95,78.51276736302569,76.58093242862802,87.97,78.75,80.0,1.0150000000000001,29.0,15.0,30.803,41.7420275890438,34.96525,2.2095000000000002,1.8162500000000001,50623.776595168354,86.557
